iter	Passed	Remaining
0	141	141629
1	143	71413
2	144	47953
3	145	36253
4	146	29230
5	148	24548
6	149	21209
7	150	18691
8	151	16731
9	153	15159
10	154	13895
11	155	12842
12	157	11950
13	158	11175
14	160	10507
15	161	9910
16	162	9415
17	164	8964
18	165	8551
19	167	8207
20	169	7881
21	170	7576
22	171	7299
23	173	7064
24	175	6845
25	177	6643
26	178	6447
27	180	6262
28	181	6086
29	183	5929
30	184	5776
31	186	5631
32	187	5501
33	189	5371
34	190	5258
35	192	5143
36	193	5034
37	194	4934
38	196	4836
39	197	4744
40	199	4664
41	200	4580
42	202	4506
43	204	4436
44	205	4365
45	207	4296
46	208	4227
47	210	4165
48	211	4105
49	213	4047
50	214	3989
51	216	3938
52	217	3888
53	219	3841
54	220	3794
55	222	3745
56	223	3699
57	225	3654
58	226	3613
59	228	3575
60	229	3538
61	231	3500
62	232	3463
63	234	3425
64	235	3387
65	237	3354
66	238	3319
67	239	3278
68	240	3248
69	242	3217
70	243	3192
71	245	3164
72	247	3139
73	248	3109
74	249	3080
75	251	3054
76	252	3026
77	253	2999
78	255	2974
79	256	2948
80	257	2924
81	259	2899
82	260	2877
83	261	2853
84	262	2826
85	263	2804
86	264	2778
87	265	2756
88	267	2735
89	268	2715
90	269	2695
91	271	2675
92	272	2655
93	273	2637
94	274	2619
95	276	2600
96	277	2583
97	278	2566
98	280	2548
99	281	2532
100	282	2516
101	283	2494
102	284	2479
103	285	2462
104	287	2447
105	288	2432
106	289	2416
107	290	2401
108	292	2387
109	293	2372
110	294	2358
111	295	2344
112	296	2330
113	298	2318
114	299	2304
115	300	2289
116	301	2277
117	303	2265
118	304	2252
119	305	2239
120	306	2229
121	308	2217
122	308	2202
123	310	2191
124	311	2179
125	312	2168
126	313	2157
127	314	2143
128	316	2135
129	317	2125
130	318	2116
131	320	2108
132	321	2098
133	323	2090
134	325	2082
135	326	2073
136	327	2066
137	329	2055
138	330	2046
139	331	2037
140	332	2028
141	334	2019
142	335	2010
143	336	2000
144	337	1992
145	339	1984
146	340	1977
147	342	1970
148	343	1962
149	344	1954
150	346	1946
151	347	1938
152	348	1930
153	349	1922
154	351	1914
155	352	1905
156	353	1897
157	354	1889
158	355	1881
159	356	1874
160	358	1867
161	359	1860
162	361	1855
163	362	1848
164	363	1840
165	365	1834
166	366	1826
167	367	1819
168	368	1813
169	369	1806
170	371	1798
171	372	1792
172	373	1786
173	375	1780
174	376	1773
175	377	1767
176	378	1761
177	380	1755
178	381	1749
179	382	1743
180	383	1734
181	384	1728
182	385	1721
183	386	1716
184	388	1710
185	389	1705
186	390	1699
187	392	1694
188	393	1688
189	394	1682
190	396	1677
191	397	1672
192	398	1666
193	399	1661
194	401	1656
195	402	1650
196	403	1645
197	405	1640
198	406	1634
199	407	1629
200	408	1624
201	409	1618
202	410	1613
203	412	1608
204	413	1603
205	414	1597
206	415	1592
207	417	1587
208	418	1583
209	419	1578
210	420	1573
211	422	1568
212	423	1564
213	424	1559
214	426	1555
215	427	1550
216	428	1546
217	429	1541
218	430	1536
219	432	1532
220	433	1528
221	434	1524
222	436	1519
223	437	1515
224	438	1510
225	439	1506
226	441	1501
227	442	1498
228	443	1494
229	445	1490
230	446	1486
231	447	1482
232	449	1478
233	450	1474
234	451	1470
235	453	1466
236	454	1462
237	455	1458
238	456	1454
239	457	1449
240	458	1445
241	460	1441
242	461	1437
243	462	1434
244	464	1430
245	465	1426
246	466	1422
247	467	1419
248	469	1415
249	470	1411
250	472	1409
251	473	1405
252	474	1401
253	476	1398
254	477	1394
255	478	1391
256	479	1387
257	481	1383
258	482	1379
259	483	1375
260	484	1372
261	485	1368
262	487	1365
263	488	1361
264	489	1357
265	490	1353
266	491	1350
267	493	1347
268	494	1343
269	495	1340
270	496	1336
271	498	1333
272	499	1330
273	501	1327
274	502	1323
275	503	1321
276	504	1317
277	506	1314
278	507	1311
279	508	1308
280	509	1304
281	511	1301
282	512	1298
283	513	1295
284	515	1292
285	516	1289
286	517	1285
287	518	1282
288	520	1279
289	521	1276
290	522	1273
291	524	1270
292	525	1269
293	527	1266
294	528	1263
295	529	1260
296	531	1257
297	532	1254
298	533	1250
299	534	1247
300	536	1244
301	537	1241
302	538	1238
303	539	1236
304	541	1233
305	542	1230
306	543	1227
307	544	1224
308	546	1220
309	547	1217
310	548	1214
311	549	1211
312	550	1208
313	551	1205
314	553	1203
315	554	1200
316	556	1198
317	557	1196
318	559	1193
319	560	1190
320	561	1188
321	563	1185
322	564	1183
323	566	1181
324	567	1178
325	568	1175
326	570	1173
327	571	1171
328	572	1168
329	574	1165
330	575	1162
331	576	1159
332	577	1156
333	578	1154
334	580	1151
335	581	1149
336	582	1146
337	584	1143
338	585	1141
339	586	1138
340	587	1136
341	589	1133
342	590	1130
343	591	1127
344	592	1125
345	593	1122
346	595	1120
347	596	1118
348	597	1115
349	599	1112
350	600	1110
351	601	1107
352	602	1105
353	604	1102
354	605	1100
355	606	1097
356	607	1094
357	609	1092
358	610	1090
359	611	1087
360	613	1085
361	614	1083
362	616	1081
363	617	1078
364	618	1076
365	619	1073
366	621	1072
367	623	1069
368	624	1067
369	625	1065
370	626	1063
371	628	1060
372	629	1058
373	630	1055
374	632	1054
375	633	1051
376	634	1049
377	636	1046
378	637	1044
379	638	1041
380	639	1039
381	641	1037
382	642	1034
383	643	1032
384	644	1030
385	646	1027
386	647	1025
387	648	1023
388	650	1021
389	651	1018
390	652	1016
391	654	1014
392	655	1012
393	656	1009
394	657	1007
395	659	1005
396	660	1003
397	661	1001
398	662	998
399	664	996
400	665	994
401	666	992
402	668	989
403	669	987
404	670	985
405	671	982
406	673	980
407	674	978
408	675	975
409	676	973
410	677	971
411	679	969
412	680	967
413	682	965
414	683	964
415	685	962
416	686	959
417	687	957
418	689	955
419	690	953
420	691	951
421	692	948
422	694	946
423	695	944
424	696	942
425	697	940
426	699	938
427	700	935
428	701	933
429	702	931
430	704	929
431	705	927
432	706	925
433	708	923
434	709	921
435	710	919
436	712	917
437	713	915
438	714	913
439	715	911
440	717	909
441	718	906
442	719	904
443	720	902
444	722	900
445	723	898
446	724	896
447	726	895
448	727	893
449	729	891
450	730	889
451	731	886
452	733	885
453	734	883
454	735	881
455	736	879
456	738	877
457	739	875
458	740	873
459	742	871
460	743	869
461	744	867
462	746	865
463	747	863
464	748	861
465	749	859
466	751	857
467	752	855
468	753	853
469	754	851
